track_name,main_artist,collaborator,popularity
Love & Pain (Kaytranada Remix),JMSN,Pain,32
Churchill Downs (feat. Drake),Jack Harlow,Drake,65
Life Is What You Make It (feat. 070 Shake),070 Beheard,070 Shake,22
"Ring Ring (feat. Travis Scott, Don Toliver, Quavo & Ty Dolla $ign)",CHASE B,"Travis Scott, Don Toliver, Quavo & Ty Dolla $ign",51
Lust For Life (with The Weeknd),Lana Del Rey,The Weeknd,70
Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],Daft Punk,Julian Casablancas+The Voidz,58
Be Quiet and Drive (Far Away),Deftones,Drive,75
Slime You Out (feat. SZA),Drake,SZA,67
Going Bad (feat. Drake),Meek Mill,Drake,72
"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",Childish Gambino,"21 Savage, Ink & Kadhja Bonet",0
MANIKIN (feat. Wifisfuneral),XXXTENTACION,Wifisfuneral,49
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Dreamville,Smino & Saba,62
Somewhere to Fly (with Don Toliver),Kid Cudi,Don Toliver,46
Hardcore (with Don Toliver),Zack Bia,Don Toliver,13
Fire Alarm (feat. Snow Strippers),Lil Uzi Vert,Snow Strippers,49
In Your Eyes (feat. Kenny G) - Remix,The Weeknd,Kenny G,45
Gees (feat. ScHoolboy Q),Mac Miller,ScHoolboy Q,31
tears in the club (feat. the weeknd),FKA twigs,the weeknd,42
Jimmy Cooks (feat. 21 Savage),Drake,21 Savage,79
Moth To A Flame (with The Weeknd),Swedish House Mafia,The Weeknd,71
"IN EVENT OF CHANGE, MONEY & NOTERIETY",Dhanji,NOTERIETY,27
"Friday Night Cypher (feat. Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9"", and Eminem)",Big Sean,"Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9"", and Eminem",40
Bad Boy (with Young Thug),Juice WRLD,Young Thug,66
Surround Sound (feat. 21 Savage & Baby Tate),JID,21 Savage & Baby Tate,77
Let Her Go (feat. James Blake),Don Toliver,James Blake,50
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),Travis Scott,James Blake & 21 Savage,75
LOOOVE (feat. Kid Cudi),Travis Scott,Kid Cudi,64
PARASAIL (feat. Yung Lean & Dave Chappelle),Travis Scott,Yung Lean & Dave Chappelle,59
TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,Rob49 & 21 Savage,75
DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott,Beyoncé,61
Smokin' And Cryin',Alex Roe,Cryin',46
FE!N (feat. Playboi Carti),Travis Scott,Playboi Carti,86
MELTDOWN (feat. Drake),Travis Scott,Drake,74
MODERN JAM (feat. Teezo Touchdown),Travis Scott,Teezo Touchdown,66
Strip That Down (feat. Quavo),Liam Payne,Quavo,70
Cheap Thrills (feat. Sean Paul),Sia,Sean Paul,72
Fountains (with Tems),Drake,Tems,67
Smack DVD (feat. Kanye West),SAINt JHN,Kanye West,0
Days Come and Go,Lil Uzi Vert,Go,48
Only 1 (Interlude) (with Travis Scott),Metro Boomin,Travis Scott,58
Are You Bored Yet? (feat. Clairo),Wallows,Clairo,79
Demons (feat. Fivio Foreign & Sosa Geek),Drake,Fivio Foreign & Sosa Geek,54
Dreamcatcher (feat. Swae Lee & Travis Scott),Metro Boomin,Swae Lee & Travis Scott,63
I Think I'm OKAY (with YUNGBLUD & Travis Barker),mgk,Travis Barker,68
Strawberries & Cigarettes,Troye Sivan,Cigarettes,74
WHARF TALK (feat. A$AP Rocky),"Tyler, The Creator",A$AP Rocky,63
"Fill The Void (with Lily Rose Depp, Ramsey)",The Weeknd,"Lily Rose Depp, Ramsey",70
I Am Who Am (Killin' Time) [feat. Niki Randa],Mac Miller,Niki Randa,34
I’m Not Real (feat. Earl Sweatshirt),Mac Miller,Earl Sweatshirt,33
Hellcat Kenny (feat. Lil Uzi Vert),Young Thug,Lil Uzi Vert,51
Oh U Went (feat. Drake),Young Thug,Drake,64
Cars Bring Me Out (feat. Future),Young Thug,Future,49
Doomsday (with Juice WRLD & Cordae),Lyrical Lemonade,Cordae,58
She'd Rather Be With Me,The Turtles,Me,41
Family (with Suzanna Son),The Weeknd,Suzanna Son,49
Bria's Interlude (feat. Omarion),Drake,Omarion,61
Armed And Dangerous,Juice WRLD,Dangerous,77
Nas Morales (Metro Boomin & Nas),Metro Boomin,Nas,52
"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)",Don Toliver,"21 Savage, 2 Chainz",61
"Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage)",Metro Boomin,"James Blake, A$AP Rocky, 21 Savage",58
"Home (Metro Boomin & Don Toliver, Lil Uzi Vert)",Metro Boomin,"Don Toliver, Lil Uzi Vert",61
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin,Coi Leray,70
Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,EI8HT,Cologne,59
